Date,Home,Away
2018-03-29,Royals,White Sox
2018-05-09,Athletics,Astros
2018-06-30,Diamondbacks,Giants
2018-08-02,White Sox,Royals
2018-05-02,Angels,Orioles
2018-07-31,Athletics,Blue Jays
2018-06-14,Dodgers,Rangers
2018-09-16,Giants,Rockies
2018-07-26,Orioles,Rays
2018-04-03,Padres,Rockies
2018-05-25,Yankees,Angels
2018-06-09,Tigers,Indians
2018-08-15,Padres,Angels
2018-08-14,Dodgers,Giants
2018-06-13,White Sox,Indians
2018-05-02,Cubs,Rockies
2018-09-04,Braves,Red Sox
2018-07-29,Padres,Diamondbacks
2018-07-21,Rays,Marlins
2018-05-08,Cardinals,Twins
2018-09-08,Tigers,Cardinals
2018-06-20,Rockies,Mets
2018-05-02,Twins,Blue Jays
2018-07-21,Brewers,Dodgers
2018-09-03,Pirates,Reds
2018-05-26,Rays,Orioles
2018-05-30,Red Sox,Blue Jays
2018-06-03,Astros,Red Sox
2018-05-02,Giants,Padres
2018-10-01,Dodgers,Rockies
2018-08-12,Orioles,Red Sox
2018-09-25,Rockies,Phillies
2018-05-19,Red Sox,Orioles
2018-04-04,Braves,Nationals
2018-04-05,White Sox,Tigers
2018-05-01,Giants,Padres
2018-05-06,Royals,Tigers
2018-05-18,Mariners,Tigers
2018-08-17,Reds,Giants
2018-09-26,Giants,Padres
2018-05-26,Rockies,Reds
2018-08-07,Diamondbacks,Phillies
2018-04-03,Angels,Indians
2018-04-29,Royals,White Sox
2018-08-02,Cardinals,Rockies
2018-04-24,Rangers,Athletics
2018-08-22,Brewers,Reds
2018-04-10,Indians,Tigers
2018-09-29,Twins,White Sox
2018-05-04,White Sox,Twins
2018-05-27,Rangers,Royals
2018-05-21,Nationals,Padres
2018-09-19,Orioles,Blue Jays
2018-05-19,Royals,Yankees
2018-05-31,Mariners,Rangers
2018-09-18,Indians,White Sox
2018-04-18,Cubs,Cardinals
2018-07-28,White Sox,Blue Jays
2018-06-24,Angels,Blue Jays
2018-06-24,White Sox,Athletics
2018-06-23,Reds,Cubs
2018-04-08,Angels,Athletics
2018-05-20,Mariners,Tigers
2018-07-08,Blue Jays,Yankees
2018-09-22,Dodgers,Padres
2018-09-26,Red Sox,Orioles
2018-09-09,Twins,Royals
2018-06-06,Padres,Braves
2018-07-20,Tigers,Red Sox
2018-05-04,Braves,Giants
2018-06-17,White Sox,Tigers
2018-04-24,Yankees,Twins
2018-08-18,Padres,Diamondbacks
2018-09-08,Athletics,Rangers
2018-07-06,Cubs,Reds
2018-07-15,Padres,Cubs
2018-07-11,Twins,Royals
2018-09-29,Brewers,Tigers
2018-07-01,Reds,Brewers
2018-04-28,Angels,Yankees
2018-05-21,Brewers,Diamondbacks
2018-09-01,Yankees,Tigers
2018-08-17,Rangers,Angels
2018-08-05,Rangers,Orioles
2018-09-18,Pirates,Royals
2018-08-05,Phillies,Marlins
2018-04-01,Blue Jays,Yankees
2018-09-08,Rockies,Dodgers
2018-07-07,Brewers,Braves
2018-04-03,Brewers,Cardinals
2018-09-08,Mariners,Yankees
2018-08-26,Diamondbacks,Mariners
2018-04-15,Mariners,Athletics
2018-05-14,Tigers,Indians
2018-08-08,Brewers,Padres
2018-08-12,Padres,Phillies
2018-06-02,Twins,Indians
2018-05-28,Orioles,Nationals
2018-04-05,Phillies,Marlins
2018-05-16,Mets,Blue Jays
2018-08-19,Pirates,Cubs
2018-05-12,Tigers,Mariners
2018-06-11,Orioles,Red Sox
2018-05-05,Braves,Giants
2018-05-31,Braves,Nationals
2018-06-07,Cardinals,Marlins
2018-07-22,Brewers,Dodgers
2018-05-05,Diamondbacks,Astros
2018-07-21,Yankees,Mets
2018-06-02,Tigers,Blue Jays
