Date,Home,Away
2018-04-10,Cubs,Pirates
2018-06-24,Twins,Rangers
2018-06-20,Phillies,Cardinals
2018-08-15,Royals,Blue Jays
2018-07-26,Yankees,Royals
2018-07-11,Marlins,Brewers
2018-09-11,Cardinals,Pirates
2018-06-01,Tigers,Blue Jays
2018-08-30,Reds,Brewers
2018-09-15,Rays,Athletics
2018-07-28,Braves,Dodgers
2018-09-20,Athletics,Angels
2018-07-02,Blue Jays,Tigers
2018-05-28,Braves,Mets
2018-06-07,Red Sox,Tigers
2018-04-12,Cubs,Pirates
2018-09-06,Nationals,Cubs
2018-06-23,Rockies,Marlins
2018-08-01,Dodgers,Brewers
2018-07-02,Yankees,Red Sox
2018-09-30,Twins,White Sox
2018-04-09,Cardinals,Brewers
2018-08-27,Phillies,Nationals
2018-05-09,Rockies,Angels
2018-07-26,Reds,Phillies
2018-06-08,Rays,Mariners
2018-08-19,Nationals,Marlins
2018-05-26,Rangers,Royals
2018-05-03,Diamondbacks,Dodgers
2018-06-02,Rockies,Dodgers
2018-06-14,Athletics,Astros
2018-03-29,Athletics,Angels
2018-06-19,Astros,Rays
2018-07-21,Diamondbacks,Rockies
2018-07-31,Diamondbacks,Rangers
2018-05-26,Brewers,Mets
2018-04-13,Rays,Phillies
2018-06-12,Mariners,Angels
2018-06-17,Orioles,Marlins
2018-05-18,White Sox,Rangers
2018-05-12,Tigers,Mariners
2018-05-20,Red Sox,Orioles
2018-05-11,Rockies,Brewers
2018-05-03,Royals,Tigers
2018-06-29,Cubs,Twins
2018-04-20,Brewers,Marlins
2018-07-22,Rangers,Indians
2018-04-12,Dodgers,Athletics
2018-08-30,Cardinals,Pirates
2018-09-13,Cubs,Brewers
2018-06-20,Angels,Diamondbacks
2018-09-29,Rockies,Nationals
2018-06-17,Mariners,Red Sox
2018-05-16,Diamondbacks,Brewers
2018-07-29,Orioles,Rays
2018-04-29,Padres,Mets
2018-06-23,Pirates,Diamondbacks
2018-05-30,Braves,Mets
2018-05-28,Indians,White Sox
2018-05-23,Astros,Giants
2018-04-05,Padres,Rockies
2018-09-24,Red Sox,Orioles
2018-09-12,Mets,Marlins
2018-04-12,Red Sox,Yankees
2018-04-20,Diamondbacks,Giants
2018-07-13,Twins,Rays
2018-06-25,Rays,Nationals
2018-04-04,Giants,Mariners
2018-05-13,Cubs,White Sox
2018-06-30,Rays,Astros
2018-04-19,Yankees,Blue Jays
2018-08-22,Diamondbacks,Angels
2018-07-28,Cardinals,Cubs
2018-06-16,Royals,Astros
2018-06-30,Athletics,Indians
2018-08-01,Yankees,Orioles
2018-06-24,Angels,Blue Jays
2018-03-31,Orioles,Twins
2018-08-03,Phillies,Marlins
2018-06-15,Mariners,Red Sox
2018-09-04,Diamondbacks,Padres
2018-06-18,Nationals,Yankees
2018-04-05,Padres,Rockies
2018-04-08,Astros,Padres
2018-05-05,Brewers,Pirates
2018-08-18,White Sox,Royals
2018-08-20,Red Sox,Indians
2018-06-24,Rays,Yankees
2018-07-24,Phillies,Dodgers
2018-09-08,Nationals,Cubs
2018-09-06,Athletics,Yankees
2018-07-05,Rockies,Giants
2018-06-10,Red Sox,White Sox
2018-09-13,Red Sox,Blue Jays
2018-06-27,Dodgers,Cubs
2018-05-14,Royals,Rays
2018-09-12,Rockies,Diamondbacks
2018-07-01,Dodgers,Rockies
2018-04-11,Nationals,Braves
2018-06-25,Royals,Angels
2018-06-26,Dodgers,Cubs
2018-08-12,Reds,Diamondbacks
2018-05-04,Indians,Blue Jays
2018-06-03,Diamondbacks,Marlins
2018-03-29,Dodgers,Giants
2018-07-12,Angels,Mariners
2018-06-09,Mets,Yankees
2018-05-05,Yankees,Indians
2018-08-04,Athletics,Tigers
2018-04-26,Pirates,Tigers
2018-06-17,Athletics,Angels
2018-06-09,Athletics,Royals
2018-08-13,Reds,Indians
2018-07-12,Rockies,Diamondbacks
2018-07-15,Mets,Nationals
2018-09-02,Nationals,Brewers
2018-06-02,White Sox,Brewers
2018-06-19,Angels,Diamondbacks
2018-04-01,Padres,Brewers
2018-04-22,Cardinals,Reds
2018-05-05,Reds,Marlins
2018-05-20,Nationals,Dodgers
2018-08-23,Marlins,Braves
2018-09-11,Phillies,Nationals
2018-05-03,Mariners,Athletics
2018-08-14,Orioles,Mets
2018-04-17,Twins,Indians
2018-05-01,Astros,Yankees
2018-08-07,Indians,Twins
2018-09-06,Blue Jays,Indians
2018-05-23,Twins,Tigers
2018-09-05,Marlins,Phillies
2018-05-08,Cardinals,Twins
2018-05-09,Phillies,Giants
2018-07-06,Pirates,Phillies
2018-06-08,Rangers,Astros
2018-05-24,Cubs,Indians
2018-07-27,Marlins,Nationals
2018-05-05,White Sox,Twins
2018-09-28,Cubs,Cardinals
2018-06-16,Orioles,Marlins
2018-06-28,Orioles,Mariners
2018-09-13,Rockies,Diamondbacks
2018-04-27,Cubs,Brewers
2018-05-06,Diamondbacks,Astros
2018-05-12,Blue Jays,Red Sox
2018-05-23,Cardinals,Royals
2018-09-26,Red Sox,Orioles
2018-08-30,Yankees,Tigers
2018-08-11,Cubs,Nationals
2018-08-21,Marlins,Yankees
2018-08-19,Rangers,Angels
2018-04-18,Athletics,White Sox
2018-05-12,Angels,Twins
2018-05-13,Phillies,Mets
2018-06-09,Red Sox,White Sox
2018-04-11,Twins,Astros
2018-05-17,Pirates,Padres
2018-05-11,Blue Jays,Red Sox
2018-06-08,Reds,Cardinals
2018-04-18,Mets,Nationals
2018-03-31,Rangers,Astros
2018-08-25,Brewers,Pirates
2018-06-06,Giants,Diamondbacks
2018-09-23,Astros,Angels
2018-06-03,Mariners,Rays
2018-05-12,Pirates,Giants
2018-09-13,Cardinals,Dodgers
2018-05-09,Rangers,Tigers
2018-04-05,Twins,Mariners
2018-07-01,Padres,Pirates
2018-07-21,Athletics,Giants
2018-04-06,Brewers,Cubs
2018-07-14,Astros,Tigers
2018-07-24,Angels,White Sox
2018-04-01,Diamondbacks,Rockies
2018-09-21,Braves,Phillies
2018-09-02,Braves,Pirates
2018-04-13,Red Sox,Orioles
2018-08-08,Diamondbacks,Phillies
2018-09-06,Rangers,Angels
2018-09-27,Mets,Braves
2018-04-01,Athletics,Angels
2018-07-13,Orioles,Rangers
2018-04-08,Rangers,Blue Jays
2018-06-30,Yankees,Red Sox
2018-06-16,Braves,Padres
2018-08-17,Pirates,Cubs
2018-06-10,Cubs,Pirates
2018-08-11,Marlins,Mets
2018-08-07,Giants,Astros
2018-05-13,Orioles,Rays
2018-07-14,Red Sox,Blue Jays
2018-06-17,Rangers,Rockies
2018-07-21,Mariners,White Sox
2018-09-02,Giants,Mets
2018-05-13,Pirates,Giants
2018-09-09,Athletics,Rangers
2018-09-20,Indians,White Sox
2018-08-14,Phillies,Red Sox
2018-09-24,Nationals,Marlins
2018-09-16,Astros,Diamondbacks
2018-04-26,Orioles,Rays
2018-08-29,Astros,Athletics
2018-07-13,Pirates,Brewers
2018-06-17,Dodgers,Giants
2018-05-04,Angels,Orioles
2018-04-11,Twins,Astros
2018-04-22,White Sox,Astros
2018-04-05,Yankees,Orioles
2018-06-30,Dodgers,Rockies
2018-05-02,Mets,Braves
2018-07-10,Rays,Tigers
2018-09-25,Cubs,Pirates
2018-07-06,Blue Jays,Yankees
2018-09-08,White Sox,Angels
2018-05-16,Diamondbacks,Brewers
2018-04-08,Rockies,Braves
2018-04-21,White Sox,Astros
2018-09-03,White Sox,Tigers
2018-08-11,Royals,Cardinals
2018-08-15,Reds,Indians
2018-03-31,Marlins,Cubs
2018-04-10,Orioles,Blue Jays
2018-05-03,Mets,Braves
2018-09-27,Giants,Padres
2018-09-26,Angels,Rangers
2018-05-20,Cardinals,Phillies
2018-07-14,Pirates,Brewers
2018-05-05,Nationals,Phillies
2018-06-22,Angels,Blue Jays
2018-04-23,Dodgers,Nationals
2018-07-07,Indians,Athletics
2018-08-19,Indians,Orioles
2018-04-04,Astros,Orioles
2018-07-13,Padres,Dodgers
2018-08-24,Marlins,Braves
2018-09-20,Astros,Mariners
2018-09-09,Mariners,Yankees
2018-09-15,Yankees,Blue Jays
2018-05-27,Rockies,Reds
2018-05-02,Marlins,Phillies
2018-09-27,Cubs,Pirates
2018-08-07,Blue Jays,Red Sox
2018-05-02,Cardinals,White Sox
2018-06-02,Astros,Red Sox
2018-09-30,Padres,Diamondbacks
2018-06-08,Mets,Yankees
2018-06-06,Rangers,Athletics
2018-08-18,Yankees,Blue Jays
2018-07-14,Marlins,Phillies
2018-04-14,Mariners,Athletics
2018-09-29,Reds,Pirates
2018-04-24,Phillies,Diamondbacks
2018-06-12,Tigers,Twins
2018-04-21,Braves,Mets
2018-06-24,Astros,Royals
2018-05-03,Astros,Yankees
2018-05-23,Astros,Giants
2018-05-24,Indians,Astros
2018-04-25,Astros,Angels
2018-09-04,Nationals,Cardinals
2018-04-10,Twins,Astros
2018-09-29,Red Sox,Yankees
2018-09-27,Rays,Yankees
2018-04-25,Rockies,Padres
2018-04-11,Red Sox,Yankees
2018-06-07,Astros,Mariners
2018-05-01,Tigers,Rays
2018-07-29,Braves,Dodgers
2018-07-08,Diamondbacks,Padres
2018-08-28,Orioles,Blue Jays
2018-06-25,Phillies,Yankees
2018-09-26,Blue Jays,Astros
2018-09-18,Phillies,Mets
2018-07-08,Giants,Cardinals
2018-06-08,Marlins,Padres
2018-06-01,Mets,Cubs
2018-08-19,Mariners,Dodgers
2018-06-20,Giants,Marlins
2018-07-28,Cardinals,Cubs
2018-05-30,Diamondbacks,Reds
2018-05-29,Pirates,Cubs
2018-05-26,Athletics,Diamondbacks
2018-05-09,Blue Jays,Mariners
2018-05-27,Marlins,Nationals
2018-08-05,Mets,Braves
2018-05-06,Reds,Marlins
2018-07-01,Cubs,Twins
2018-09-08,Blue Jays,Indians
2018-03-31,Diamondbacks,Rockies
2018-04-16,Yankees,Marlins
2018-09-18,Dodgers,Rockies
2018-06-27,Brewers,Royals
2018-09-03,Astros,Angels
2018-08-19,Phillies,Mets
2018-09-26,Rockies,Phillies
2018-04-26,Blue Jays,Red Sox
2018-04-23,Reds,Braves
2018-09-04,Mariners,Orioles
2018-08-07,Mets,Reds
2018-09-22,Rangers,Mariners
2018-04-19,Angels,Red Sox
2018-08-09,Royals,Cubs
2018-05-30,Indians,White Sox
2018-07-09,Marlins,Brewers
2018-09-03,Nationals,Cardinals
2018-05-29,Indians,White Sox
2018-07-10,Padres,Dodgers
2018-09-23,Dodgers,Padres
2018-08-09,Brewers,Padres
2018-06-06,Mets,Orioles
2018-06-19,Phillies,Cardinals
2018-06-06,Indians,Brewers
2018-07-10,Mets,Phillies
2018-04-01,Marlins,Cubs
2018-04-22,Athletics,Red Sox
2018-08-29,Cubs,Mets
2018-09-18,Padres,Giants
2018-08-08,Rockies,Pirates
2018-07-12,Rockies,Diamondbacks
2018-06-16,Diamondbacks,Mets
2018-04-01,Rays,Red Sox
2018-08-01,Tigers,Reds
2018-04-29,Blue Jays,Rangers
2018-08-19,Padres,Diamondbacks
2018-07-06,Astros,White Sox
2018-04-21,White Sox,Astros
2018-06-29,Blue Jays,Tigers
2018-09-15,Royals,Twins
2018-06-22,Red Sox,Mariners
2018-08-17,Phillies,Mets
2018-04-08,Yankees,Orioles
2018-08-06,Mets,Reds
2018-07-20,Phillies,Padres
2018-09-25,Nationals,Marlins
2018-04-27,Orioles,Tigers
2018-06-03,Royals,Athletics
2018-04-21,Rangers,Mariners
2018-08-21,Mets,Giants
2018-05-30,Mariners,Rangers
2018-04-11,Royals,Mariners
2018-05-21,Mets,Marlins
2018-07-01,Rays,Astros
2018-08-05,Pirates,Cardinals
2018-07-20,Blue Jays,Orioles
2018-08-25,Blue Jays,Phillies
2018-07-12,Astros,Athletics
2018-09-01,White Sox,Red Sox
2018-08-03,Pirates,Cardinals
2018-04-13,Mets,Brewers
2018-05-13,Rockies,Brewers
2018-09-11,Twins,Yankees
2018-06-20,Giants,Marlins
2018-07-15,Astros,Tigers
2018-09-30,Royals,Indians
2018-09-11,Rays,Indians
2018-05-06,White Sox,Twins
2018-05-01,Indians,Rangers
2018-08-31,Marlins,Blue Jays
2018-04-10,Marlins,Mets
2018-09-02,Phillies,Cubs
2018-08-26,Brewers,Pirates
2018-08-15,Dodgers,Giants
2018-06-09,Dodgers,Braves
2018-09-02,Dodgers,Diamondbacks
2018-08-01,Cardinals,Rockies
2018-04-27,Pirates,Cardinals
2018-08-16,Dodgers,Giants
2018-09-19,Astros,Mariners
2018-08-30,Giants,Diamondbacks
2018-08-21,Brewers,Reds
2018-08-10,Orioles,Red Sox
2018-05-20,Pirates,Padres
2018-06-25,Marlins,Diamondbacks
2018-05-26,Yankees,Angels
2018-09-07,Red Sox,Astros
2018-05-22,Blue Jays,Angels
2018-04-21,Angels,Giants
2018-09-08,Brewers,Giants
2018-05-02,Cardinals,White Sox
2018-09-20,Yankees,Red Sox
2018-05-18,Pirates,Padres
2018-09-26,Cardinals,Brewers
2018-09-18,Orioles,Blue Jays
2018-09-30,Reds,Pirates
2018-06-13,Tigers,Twins
2018-08-31,Indians,Rays
2018-07-11,Orioles,Yankees
2018-06-30,Blue Jays,Tigers
2018-04-25,Giants,Nationals
2018-08-31,Braves,Pirates
2018-06-30,Padres,Pirates
2018-04-24,Indians,Cubs
2018-06-05,Pirates,Dodgers
2018-05-03,Diamondbacks,Dodgers
2018-09-17,Pirates,Royals
2018-07-14,Pirates,Brewers
2018-05-25,Tigers,White Sox
2018-04-04,Athletics,Rangers
2018-05-13,Angels,Twins
2018-05-03,Indians,Blue Jays
2018-07-21,Royals,Twins
2018-09-21,Tigers,Royals
2018-05-27,Rays,Orioles
2018-06-16,Rangers,Rockies
2018-08-04,Brewers,Rockies
2018-06-19,Giants,Marlins
2018-07-14,Twins,Rays
2018-06-08,Nationals,Giants
2018-04-15,Marlins,Pirates
2018-04-14,Dodgers,Diamondbacks
2018-09-29,Phillies,Braves
2018-07-08,Twins,Orioles
2018-07-22,Cubs,Cardinals
2018-08-15,Rangers,Diamondbacks
2018-08-25,Rockies,Cardinals
2018-05-15,Red Sox,Athletics
2018-09-01,Royals,Orioles
2018-07-15,Marlins,Phillies
2018-04-05,Nationals,Mets
2018-09-19,Pirates,Royals
2018-06-10,Dodgers,Braves
2018-08-26,Angels,Astros
2018-04-22,Brewers,Marlins
2018-06-22,Reds,Cubs
2018-06-05,Nationals,Rays
2018-07-29,White Sox,Blue Jays
2018-06-09,Rays,Mariners
2018-04-17,Athletics,White Sox
2018-08-02,Red Sox,Yankees
2018-05-15,Diamondbacks,Brewers
2018-05-31,Mets,Cubs
2018-04-25,Indians,Cubs
2018-08-25,Angels,Astros
2018-08-12,Giants,Pirates
2018-07-15,Rockies,Mariners
2018-07-14,Indians,Yankees
2018-04-27,Red Sox,Rays
2018-08-02,Mets,Braves
2018-06-27,Rangers,Padres
2018-08-25,Brewers,Pirates
2018-06-26,Red Sox,Angels
2018-06-05,Giants,Diamondbacks
2018-06-26,Tigers,Athletics
2018-06-21,Yankees,Mariners
2018-07-10,Indians,Reds
2018-06-30,Orioles,Angels
2018-06-01,Braves,Nationals
2018-09-12,Mariners,Padres
2018-09-20,Diamondbacks,Cubs
2018-04-30,Tigers,Rays
2018-05-06,Rangers,Red Sox
2018-07-20,Reds,Pirates
2018-06-16,Rangers,Rockies
2018-05-19,Mariners,Tigers
2018-05-23,Blue Jays,Angels
2018-05-16,Braves,Cubs
2018-06-06,Pirates,Dodgers
2018-09-19,Rangers,Rays
2018-09-15,Braves,Nationals
2018-09-19,Rangers,Rays
2018-07-15,Red Sox,Blue Jays
2018-05-24,Blue Jays,Angels
2018-08-07,Nationals,Braves
2018-09-10,Rays,Indians
2018-09-17,Braves,Cardinals
2018-08-31,Nationals,Brewers
2018-05-12,Indians,Royals
2018-09-07,Mets,Phillies
2018-09-22,Diamondbacks,Rockies
2018-09-10,Red Sox,Astros
2018-04-28,Royals,White Sox
2018-05-16,Twins,Cardinals
2018-08-16,Phillies,Mets
2018-09-22,White Sox,Cubs
2018-09-15,Cardinals,Dodgers
2018-09-15,Astros,Diamondbacks
2018-08-04,Twins,Royals
2018-05-18,Reds,Cubs
2018-06-16,Blue Jays,Nationals
2018-07-25,Royals,Tigers
2018-04-29,Cubs,Brewers
2018-09-26,Twins,Tigers
2018-03-29,Marlins,Cubs
2018-05-14,Twins,Mariners
2018-09-30,Red Sox,Yankees
2018-04-22,Athletics,Red Sox
2018-08-08,Rays,Orioles
2018-09-30,Angels,Athletics
2018-07-28,Astros,Rangers
2018-07-11,White Sox,Cardinals
2018-05-22,Brewers,Diamondbacks
2018-08-25,Twins,Athletics
2018-07-27,Orioles,Rays
2018-07-20,Yankees,Mets
2018-08-29,Angels,Rockies
2018-05-13,Dodgers,Reds
2018-04-02,Brewers,Cardinals
2018-05-16,Angels,Astros
2018-08-09,Brewers,Padres
2018-04-22,Orioles,Indians
2018-07-20,Cubs,Cardinals
2018-05-04,Reds,Marlins
2018-04-07,Brewers,Cubs
2018-09-01,Indians,Rays
2018-06-28,Giants,Rockies
2018-09-26,Diamondbacks,Dodgers
2018-08-10,Giants,Pirates
2018-09-10,Reds,Dodgers
2018-07-12,Astros,Athletics
2018-04-29,Nationals,Diamondbacks
2018-09-25,Blue Jays,Astros
2018-05-13,Astros,Rangers
2018-04-29,Red Sox,Rays
2018-03-30,Reds,Nationals
2018-06-16,Brewers,Phillies
2018-05-13,Angels,Twins
2018-08-29,Padres,Mariners
2018-08-11,White Sox,Indians
2018-05-19,Astros,Indians
2018-05-05,Rays,Blue Jays
2018-04-22,Rockies,Cubs
2018-09-29,Royals,Indians
2018-08-17,Padres,Diamondbacks
2018-05-12,Astros,Rangers
2018-07-10,Marlins,Brewers
2018-09-19,Indians,White Sox
2018-06-21,Reds,Cubs
2018-09-12,Cardinals,Pirates
2018-06-13,Athletics,Astros
2018-09-21,Pirates,Brewers
2018-04-29,Phillies,Braves
2018-09-08,Red Sox,Astros
2018-07-14,White Sox,Royals
2018-05-06,Athletics,Orioles
2018-06-30,Dodgers,Rockies
2018-06-18,Indians,White Sox
2018-04-01,Mariners,Indians
2018-04-01,Mets,Cardinals
2018-06-19,Cubs,Dodgers
2018-08-08,Blue Jays,Red Sox
2018-09-16,Royals,Twins
2018-07-21,Brewers,Dodgers
2018-08-03,Cubs,Padres
2018-05-30,Yankees,Astros
2018-08-26,Rockies,Cardinals
2018-04-08,Rockies,Braves
2018-08-29,Phillies,Nationals
2018-06-09,Blue Jays,Orioles
2018-07-15,Indians,Yankees
2018-05-21,Astros,Indians
2018-04-20,Tigers,Royals
2018-07-31,Nationals,Mets
2018-05-13,Tigers,Mariners
2018-07-25,Mariners,Giants
2018-05-12,Rockies,Brewers
2018-07-08,Diamondbacks,Padres
2018-04-01,Tigers,Pirates
2018-08-25,Diamondbacks,Mariners
2018-05-27,Dodgers,Padres
2018-09-25,Mariners,Athletics
2018-05-16,Mariners,Rangers
2018-09-11,Phillies,Nationals
2018-08-26,Rockies,Cardinals
2018-09-22,Indians,Red Sox
2018-08-01,Pirates,Cubs
2018-03-31,Mets,Cardinals
2018-04-15,Reds,Cardinals
2018-06-16,White Sox,Tigers
2018-06-10,Dodgers,Braves
2018-06-27,Orioles,Mariners
2018-07-01,Marlins,Mets
2018-07-25,Indians,Pirates
2018-06-16,White Sox,Tigers
2018-07-23,Rays,Yankees
2018-07-04,Phillies,Orioles
2018-08-21,Rays,Royals
2018-05-28,Brewers,Cardinals
2018-08-12,White Sox,Indians
2018-08-12,Tigers,Twins
2018-06-14,White Sox,Indians
2018-05-05,White Sox,Twins
2018-04-03,Blue Jays,White Sox
2018-09-30,Cubs,Cardinals
2018-08-08,Athletics,Dodgers
2018-04-01,Dodgers,Giants
2018-05-28,Yankees,Astros
2018-08-12,Royals,Cardinals
2018-08-26,Giants,Rangers
2018-08-31,Padres,Rockies
2018-07-28,Padres,Diamondbacks
2018-07-01,Rangers,White Sox
2018-07-07,Tigers,Rangers
2018-07-07,Astros,White Sox
2018-06-22,Giants,Padres
2018-07-15,Twins,Rays
2018-06-21,Rockies,Mets
2018-09-14,Royals,Twins
2018-04-10,Phillies,Reds
2018-05-11,Padres,Cardinals
2018-05-23,Mets,Marlins
2018-04-30,Red Sox,Royals
2018-05-31,Padres,Marlins
2018-07-30,Braves,Marlins
2018-05-30,Royals,Twins
2018-07-06,Brewers,Braves
2018-09-15,Brewers,Pirates
2018-09-18,Marlins,Nationals
2018-07-29,Yankees,Royals
2018-04-19,Mariners,Astros
2018-05-16,Giants,Reds
2018-06-27,Mets,Pirates
2018-04-10,Red Sox,Yankees
2018-06-06,Cardinals,Marlins
2018-06-07,Blue Jays,Orioles
2018-06-24,Giants,Padres
2018-07-14,Giants,Athletics
2018-07-23,Indians,Pirates
2018-08-25,Rays,Red Sox
2018-04-28,Red Sox,Rays
2018-07-10,Red Sox,Rangers
2018-07-11,Giants,Cubs
2018-09-23,Blue Jays,Rays
2018-06-05,Red Sox,Tigers
2018-07-26,Braves,Dodgers
2018-04-28,Pirates,Cardinals
2018-08-05,Cubs,Padres
2018-07-12,Indians,Yankees
2018-03-31,Mariners,Indians
2018-09-07,Rays,Orioles
2018-08-29,Astros,Athletics
2018-04-14,Red Sox,Orioles
2018-05-25,Rangers,Royals
2018-09-30,Mariners,Rangers
2018-06-01,Astros,Red Sox
2018-07-03,Nationals,Red Sox
2018-08-05,Dodgers,Astros
2018-04-11,Rangers,Angels
2018-06-02,Mariners,Rays
2018-06-18,Nationals,Yankees
2018-09-05,Dodgers,Mets
2018-08-09,White Sox,Yankees
2018-07-24,Brewers,Nationals
2018-05-19,Twins,Brewers
2018-05-15,Giants,Reds
2018-06-28,Tigers,Athletics
2018-05-17,Angels,Astros
2018-08-08,White Sox,Yankees
2018-05-12,Yankees,Athletics
2018-09-28,Twins,Tigers
2018-08-18,Indians,Orioles
2018-04-19,Cubs,Cardinals
2018-07-15,Rockies,Mariners
2018-08-19,White Sox,Royals
2018-06-22,Indians,Tigers
2018-07-26,Cubs,Diamondbacks
2018-07-14,Rockies,Mariners
2018-07-25,Cubs,Diamondbacks
2018-05-11,Cubs,White Sox
2018-07-10,Twins,Royals
2018-04-02,Dodgers,Giants
2018-08-01,Athletics,Blue Jays
2018-09-16,Rays,Athletics
2018-08-17,Braves,Rockies
2018-08-22,Athletics,Rangers
2018-08-15,Twins,Pirates
2018-06-22,Braves,Orioles
2018-07-29,Angels,Mariners
2018-06-10,Athletics,Royals
2018-07-04,Blue Jays,Mets
2018-06-16,Athletics,Angels
2018-05-31,Athletics,Rays
2018-09-28,Rays,Blue Jays
2018-07-21,Royals,Twins
2018-04-22,Yankees,Blue Jays
2018-05-20,Twins,Brewers
2018-06-14,White Sox,Indians
2018-06-03,Angels,Rangers
2018-09-29,Mets,Marlins
2018-06-21,Pirates,Diamondbacks
2018-09-06,Astros,Twins
2018-04-21,Diamondbacks,Padres
2018-04-01,Rangers,Astros
2018-06-05,Twins,White Sox
2018-05-07,Reds,Mets
2018-04-19,Mariners,Astros
2018-08-05,Nationals,Reds
2018-09-07,Blue Jays,Indians
2018-09-14,Angels,Mariners
2018-05-26,Red Sox,Braves
2018-08-29,Orioles,Blue Jays
2018-08-08,Angels,Tigers
2018-09-25,Rays,Yankees
2018-08-14,Cardinals,Nationals
2018-03-31,Reds,Nationals
2018-09-12,Reds,Dodgers
2018-04-17,Braves,Phillies
2018-08-22,Blue Jays,Orioles
2018-08-03,Mariners,Blue Jays
2018-09-22,Pirates,Brewers
2018-05-11,Yankees,Athletics
2018-05-02,Cubs,Rockies
2018-08-31,Athletics,Mariners
2018-07-25,Angels,White Sox
2018-06-23,Brewers,Cardinals
2018-06-09,Rockies,Diamondbacks
2018-06-26,Orioles,Mariners
2018-08-01,Athletics,Blue Jays
2018-06-06,Reds,Rockies
2018-07-03,Marlins,Rays
2018-06-27,Astros,Blue Jays
2018-08-07,Royals,Cubs
2018-05-20,Reds,Cubs
2018-04-22,Rangers,Mariners
2018-08-14,Rangers,Diamondbacks
2018-05-22,Phillies,Braves
2018-04-18,Twins,Indians
2018-05-30,Dodgers,Phillies
2018-05-16,Royals,Rays
2018-07-27,Pirates,Mets
2018-08-19,Athletics,Astros
2018-06-20,Astros,Rays
2018-06-19,Rockies,Mets
2018-06-29,Orioles,Angels
2018-04-22,Dodgers,Nationals
2018-09-20,Marlins,Reds
2018-04-19,Braves,Mets
2018-08-12,Angels,Athletics
2018-04-06,Yankees,Orioles
2018-06-13,Cardinals,Padres
2018-06-14,Marlins,Giants
2018-08-04,Twins,Royals
2018-05-25,Rays,Orioles
2018-09-09,Diamondbacks,Braves
2018-04-22,Rangers,Mariners
2018-08-26,Cubs,Reds
2018-08-08,Diamondbacks,Phillies
2018-08-13,Cubs,Nationals
2018-04-27,Blue Jays,Rangers
2018-05-10,Phillies,Giants
2018-09-19,Phillies,Mets
2018-07-25,Brewers,Nationals
2018-07-22,Phillies,Padres
2018-04-22,Rays,Twins
2018-07-23,Mets,Padres
2018-04-27,Cubs,Brewers
2018-09-02,Cardinals,Reds
2018-09-17,Orioles,Blue Jays
2018-05-31,Dodgers,Phillies
2018-05-16,Marlins,Dodgers
2018-06-15,Blue Jays,Nationals
2018-04-11,Rockies,Padres
2018-07-06,Mets,Rays
2018-06-15,Indians,Twins
2018-05-13,Rockies,Brewers
2018-08-09,Indians,Twins
2018-06-03,Rockies,Dodgers
2018-05-12,Orioles,Rays
2018-09-28,Cubs,Pirates
2018-09-28,Royals,Indians
2018-08-01,Rays,Angels
2018-08-22,Red Sox,Indians
2018-06-03,Giants,Phillies
2018-08-10,Marlins,Mets
2018-04-24,Rockies,Padres
2018-09-03,Marlins,Phillies
2018-09-30,Orioles,Astros
2018-06-28,Marlins,Diamondbacks
2018-05-06,Mariners,Angels
2018-07-26,Pirates,Mets
2018-08-14,Reds,Indians
2018-09-12,Twins,Yankees
2018-08-20,Twins,White Sox
2018-08-02,Cardinals,Rockies
2018-05-23,Rays,Red Sox
2018-07-14,Astros,Tigers
2018-09-16,Yankees,Blue Jays
2018-05-05,Brewers,Pirates
2018-08-02,Dodgers,Brewers
2018-05-11,Phillies,Mets
2018-07-02,Reds,White Sox
2018-06-14,Athletics,Astros
2018-06-19,Blue Jays,Braves
2018-04-20,Yankees,Blue Jays
2018-09-30,Rays,Blue Jays
2018-04-21,Brewers,Marlins
2018-09-17,Marlins,Nationals
2018-07-23,Orioles,Red Sox
2018-07-29,Red Sox,Twins
2018-09-23,Athletics,Twins
2018-08-07,Nationals,Braves
2018-06-26,Rangers,Padres
2018-09-07,Pirates,Marlins
2018-08-16,Yankees,Rays
2018-06-04,Tigers,Yankees
2018-06-17,Royals,Astros
2018-06-13,Yankees,Nationals
2018-07-25,Cubs,Diamondbacks
2018-04-08,Brewers,Cubs
2018-05-09,Reds,Mets
2018-04-11,Indians,Tigers
2018-06-02,Cardinals,Pirates
2018-04-17,Blue Jays,Royals
2018-06-13,Braves,Mets
2018-05-05,Royals,Tigers
2018-09-11,Royals,White Sox
2018-04-23,Orioles,Indians
2018-04-16,Pirates,Rockies
2018-08-04,Rays,White Sox
2018-04-07,Cardinals,Diamondbacks
2018-07-11,Rockies,Diamondbacks
2018-09-23,Dodgers,Padres
2018-09-08,Mets,Phillies
2018-05-02,Astros,Yankees
2018-05-26,Brewers,Mets
2018-07-29,Giants,Brewers
2018-05-11,Angels,Twins
2018-06-16,Indians,Twins
2018-05-26,Rangers,Royals
2018-05-11,Diamondbacks,Nationals
2018-04-30,Indians,Rangers
2018-06-23,Giants,Padres
2018-04-11,White Sox,Rays
2018-07-07,Twins,Orioles
2018-09-14,Red Sox,Mets
2018-05-24,Athletics,Mariners
2018-07-07,Cubs,Reds
2018-08-20,Rays,Royals
2018-04-04,Mets,Phillies
